"index","Date","Open","High","Low","Close","Adj Close","Volume"
"89","2010-05-11","8.9943","9.2818","8.9464","9.1614","7.8547","848906800"
"90","2010-05-12","9.2586","9.3975","9.2393","9.3604","8.0252","654379600"
"91","2010-05-13","9.4007","9.4643","9.1571","9.2271","7.911","599712400"
"92","2010-05-14","9.1129","9.16","8.9107","9.065","7.772","759362800"
"93","2010-05-17","9.0964","9.1493","8.8468","9.0793","7.7843","762834800"
"94","2010-05-18","9.1779","9.2339","8.9379","9.0129","7.7273","782678400"
"95","2010-05-19","8.9107","9.0329","8.7446","8.8693","7.6042","1025726800"
"96","2010-05-20","8.6386","8.7089","8.4361","8.4914","7.2803","1282915200"
"97","2010-05-21","8.315","8.7321","8.2625","8.6543","7.4199","1223891200"
"98","2010-05-24","8.8314","8.9607","8.795","8.8129","7.5558","754238800"
"99","2010-05-25","8.5482","8.8129","8.47","8.7579","7.5087","1048006400"
"100","2010-05-26","8.9314","9.0046","8.7054","8.7182","7.4747","850654000"
"101","2010-05-27","8.95","9.0675","8.8968","9.0482","7.7576","666282400"
"102","2010-05-28","9.2639","9.2643","9.0482","9.1743","7.8657","815614800"
"103","2010-06-01","9.2746","9.4979","9.2486","9.3154","7.9867","876472800"
"104","2010-06-02","9.4479","9.4571","9.2975","9.4268","8.0822","688548000"
"105","2010-06-03","9.4707","9.4839","9.3004","9.3971","8.0568","650106800"
"106","2010-06-04","9.2218","9.3536","9.0939","9.1414","7.8375","758304400"
"107","2010-06-07","9.2246","9.2554","8.9482","8.9621","7.6838","886942000"
"108","2010-06-08","9.0443","9.0643","8.7732","8.9046","7.6345","1000770400"
"109","2010-06-09","8.9811","8.9964","8.6604","8.6857","7.4468","854630000"
"110","2010-06-10","8.7443","8.9636","8.65","8.9468","7.6707","776356000"
"111","2010-06-11","8.8654","9.0664","8.8346","9.0539","7.7625","545759200"
"112","2010-06-14","9.1414","9.2554","9.0718","9.0814","7.7861","602960400"
"113","2010-06-15","9.13","9.2804","9.125","9.2746","7.9518","585074000"
"114","2010-06-16","9.325","9.5625","9.3082","9.5446","8.1832","783678000"
"115","2010-06-17","9.6643","9.7464","9.625","9.7096","8.3247","872855200"
"116","2010-06-18","9.7232","9.8214","9.6936","9.7882","8.3921","784621600"
"117","2010-06-21","9.9175","9.9646","9.5975","9.6489","8.2727","776490400"
"118","2010-06-22","9.72","9.8561","9.6964","9.7804","8.3853","717262000"
"119","2010-06-23","9.8064","9.8093","9.5679","9.6775","8.2972","768457200"
"120","2010-06-24","9.6786","9.7571","9.575","9.6071","8.2368","714277200"
"121","2010-06-25","9.645","9.6525","9.4932","9.525","8.1664","549942400"
"122","2010-06-28","9.5332","9.6339","9.4471","9.5821","8.2154","584948000"
"123","2010-06-29","9.4329","9.4425","9.0821","9.1489","7.844","1133344800"
"124","2010-06-30","9.1682","9.2132","8.9289","8.9832","7.7019","739452000"
"125","2010-07-01","9.0821","9.1","8.6864","8.8743","7.6085","1022896000"
"126","2010-07-02","8.9461","8.9618","8.6857","8.8193","7.5613","693842800"
"127","2010-07-06","8.9643","9.0286","8.7914","8.8796","7.6131","615235600"
"128","2010-07-07","8.9461","9.2418","8.9196","9.2382","7.9205","654556000"
"129","2010-07-08","9.3743","9.3893","9.1032","9.2175","7.9028","738144400"
"130","2010-07-09","9.1746","9.2821","9.1129","9.2721","7.9496","433322400"
"131","2010-07-12","9.2332","9.3518","9.1021","9.1889","7.8783","562878400"
"132","2010-07-13","9.1543","9.1571","8.8011","8.9929","7.7102","1190924000"
"133","2010-07-14","8.9064","9.1357","8.8929","9.0261","7.7386","812047600"
"134","2010-07-15","8.8654","9.1775","8.8321","8.9804","7.6994","824866000"
"135","2010-07-16","9.0421","9.1061","8.8718","8.925","7.652","1039858400"
